# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	pseudogene	GCF_002101335.1	Primary Assembly	chromosome		NZ_CP020773.1	2533103	557	-							B5P37_RS00005	570		partial;pseudo;old_locus_tag=B5P37_00005
CDS	without_protein	GCF_002101335.1	Primary Assembly	chromosome		NZ_CP020773.1	2533103	557	-				glycine dehydrogenase			B5P37_RS00005	570		partial;pseudo
gene	protein_coding	GCF_002101335.1	Primary Assembly	chromosome		NZ_CP020773.1	570	1661	-					gcvT		B5P37_RS00010	1092		old_locus_tag=B5P37_00010
CDS	with_protein	GCF_002101335.1	Primary Assembly	chromosome		NZ_CP020773.1	570	1661	-	WP_085235889.1	WP_085235889.1		glycine cleavage system aminomethyltransferase GcvT	gcvT		B5P37_RS00010	1092	363	
gene	protein_coding	GCF_002101335.1	Primary Assembly	chromosome		NZ_CP020773.1	1820	2347	-							B5P37_RS00015	528		old_locus_tag=B5P37_00015
CDS	with_protein	GCF_002101335.1	Primary Assembly	chromosome		NZ_CP020773.1	1820	2347	-	WP_085235891.1	WP_085235891.1		shikimate kinase			B5P37_RS00015	528	175	
gene	protein_coding	GCF_002101335.1	Primary Assembly	chromosome		NZ_CP020773.1	2344	2532	-							B5P37_RS00020	189		old_locus_tag=B5P37_00020
CDS	with_protein	GCF_002101335.1	Primary Assembly	chromosome		NZ_CP020773.1	2344	2532	-	WP_085235893.1	WP_085235893.1		hypothetical protein			B5P37_RS00020	189	62	
gene	protein_coding	GCF_002101335.1	Primary Assembly	chromosome		NZ_CP020773.1	2510	2863	-							B5P37_RS00025	354		old_locus_tag=B5P37_00025
CDS	with_protein	GCF_002101335.1	Primary Assembly	chromosome		NZ_CP020773.1	2510	2863	-	WP_244898617.1	WP_244898617.1		ComGF family competence protein			B5P37_RS00025	354	117	
gene	protein_coding	GCF_002101335.1	Primary Assembly	chromosome		NZ_CP020773.1	3203	3646	-							B5P37_RS00035	444		old_locus_tag=B5P37_00035
CDS	with_protein	GCF_002101335.1	Primary Assembly	chromosome		NZ_CP020773.1	3203	3646	-	WP_085235897.1	WP_085235897.1		prepilin-type N-terminal cleavage/methylation domain-containing protein			B5P37_RS00035	444	147	
gene	protein_coding	GCF_002101335.1	Primary Assembly	chromosome		NZ_CP020773.1	3624	3947	-							B5P37_RS00040	324		old_locus_tag=B5P37_00040
CDS	with_protein	GCF_002101335.1	Primary Assembly	chromosome		NZ_CP020773.1	3624	3947	-	WP_085235899.1	WP_085235899.1		prepilin-type N-terminal cleavage/methylation domain-containing protein			B5P37_RS00040	324	107	
gene	protein_coding	GCF_002101335.1	Primary Assembly	chromosome		NZ_CP020773.1	3958	5025	-							B5P37_RS00045	1068		old_locus_tag=B5P37_00045
CDS	with_protein	GCF_002101335.1	Primary Assembly	chromosome		NZ_CP020773.1	3958	5025	-	WP_085235901.1	WP_085235901.1		type II secretion system F family protein			B5P37_RS00045	1068	355	
