# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	1	1344	+					dnaA		JC286_00005	1344		
CDS	with_protein	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	1	1344	+	QQA48530.1			chromosomal replication initiator protein DnaA	dnaA		JC286_00005	1344	447	
gene	protein_coding	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	1516	2649	+					dnaN		JC286_00010	1134		
CDS	with_protein	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	1516	2649	+	QQA48531.1			DNA polymerase III subunit beta	dnaN		JC286_00010	1134	377	
gene	protein_coding	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	2931	3620	+							JC286_00015	690		
CDS	with_protein	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	2931	3620	+	QQA48532.1			thioredoxin domain-containing protein			JC286_00015	690	229	
gene	protein_coding	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	3740	3979	+							JC286_00020	240		
CDS	with_protein	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	3740	3979	+	QQA48533.1			S4 domain-containing protein YaaA			JC286_00020	240	79	
gene	protein_coding	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	3976	5091	+					recF		JC286_00025	1116		
CDS	with_protein	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	3976	5091	+	QQA48534.1			DNA replication/repair protein RecF	recF		JC286_00025	1116	371	
gene	protein_coding	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	5114	7036	+					gyrB		JC286_00030	1923		
CDS	with_protein	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	5114	7036	+	QQA48535.1			DNA topoisomerase (ATP-hydrolyzing) subunit B	gyrB		JC286_00030	1923	640	
gene	protein_coding	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	7072	9708	+					gyrA		JC286_00035	2637		
CDS	with_protein	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	7072	9708	+	QQA48536.1			DNA gyrase subunit A	gyrA		JC286_00035	2637	878	
gene	protein_coding	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	9960	10775	-							JC286_00040	816		
CDS	with_protein	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	9960	10775	-	QQA48537.1			NAD(P)H-hydrate dehydratase			JC286_00040	816	271	
gene	protein_coding	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	11125	12627	+					hutH		JC286_00045	1503		
CDS	with_protein	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	11125	12627	+	QQA48538.1			histidine ammonia-lyase	hutH		JC286_00045	1503	500	
gene	protein_coding	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	12945	14225	+					serS		JC286_00050	1281		
CDS	with_protein	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	12945	14225	+	QQA48539.1			serine--tRNA ligase	serS		JC286_00050	1281	426	
gene	protein_coding	GCA_016126715.1	Primary Assembly	chromosome		CP065921.1	14540	15232	+							JC286_00055	693		
