# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	2213819	1449	-							I6G39_00005	4206		
CDS	with_protein	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	2213819	1449	-	QPT07154.1			LPXTG cell wall anchor domain-containing protein			I6G39_00005	4206	1401	
gene	protein_coding	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	1590	2672	-							I6G39_00010	1083		
CDS	with_protein	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	1590	2672	-	QPT06110.1			KxYKxGKxW signal peptide domain-containing protein			I6G39_00010	1083	360	
gene	protein_coding	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	3073	4425	-							I6G39_00015	1353		
CDS	with_protein	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	3073	4425	-	QPT07063.1			sodium:solute symporter family protein			I6G39_00015	1353	450	
gene	protein_coding	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	4703	5941	-							I6G39_00020	1239		
CDS	with_protein	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	4703	5941	-	QPT06111.1			aminoacyltransferase			I6G39_00020	1239	412	
gene	protein_coding	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	6411	6911	+							I6G39_00025	501		
CDS	with_protein	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	6411	6911	+	QPT06112.1			GNAT family N-acetyltransferase			I6G39_00025	501	166	
gene	protein_coding	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	6978	8594	-							I6G39_00030	1617		
CDS	with_protein	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	6978	8594	-	QPT06113.1			ABC-F family ATP-binding cassette domain-containing protein			I6G39_00030	1617	538	
gene	protein_coding	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	8982	9314	-							I6G39_00035	333		
CDS	with_protein	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	8982	9314	-	QPT06114.1			general stress protein			I6G39_00035	333	110	
gene	protein_coding	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	9632	9820	+							I6G39_00040	189		
CDS	with_protein	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	9632	9820	+	QPT06115.1			helix-turn-helix transcriptional regulator			I6G39_00040	189	62	
gene	protein_coding	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	9826	10329	+							I6G39_00045	504		
CDS	with_protein	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	9826	10329	+	QPT06116.1			hypothetical protein			I6G39_00045	504	167	
gene	protein_coding	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	10393	12126	-							I6G39_00050	1734		
CDS	with_protein	GCA_016028295.1	Primary Assembly	chromosome		CP065712.1	10393	12126	-	QPT06117.1			ABC transporter ATP-binding protein			I6G39_00050	1734	577	
