# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_900187005.1	Primary Assembly	chromosome	1	LT906464.1	1	1347	+					dnaA		SAMEA4412661_00001	1347		
CDS	with_protein	GCA_900187005.1	Primary Assembly	chromosome	1	LT906464.1	1	1347	+	SNV98017.1			chromosomal replication initiator protein DnaA	dnaA		SAMEA4412661_00001	1347	448	
gene	protein_coding	GCA_900187005.1	Primary Assembly	chromosome	1	LT906464.1	1524	2657	+					dnaN		SAMEA4412661_00002	1134		
CDS	with_protein	GCA_900187005.1	Primary Assembly	chromosome	1	LT906464.1	1524	2657	+	SNV98025.1			DNA polymerase III subunit beta	dnaN		SAMEA4412661_00002	1134	377	
gene	protein_coding	GCA_900187005.1	Primary Assembly	chromosome	1	LT906464.1	2791	3480	+					bdbD		SAMEA4412661_00003	690		
CDS	with_protein	GCA_900187005.1	Primary Assembly	chromosome	1	LT906464.1	2791	3480	+	SNV98038.1			protein-disulfide isomerase	bdbD		SAMEA4412661_00003	690	229	
gene	protein_coding	GCA_900187005.1	Primary Assembly	chromosome	1	LT906464.1	3655	3876	+							SAMEA4412661_00004	222		
CDS	with_protein	GCA_900187005.1	Primary Assembly	chromosome	1	LT906464.1	3655	3876	+	SNV98044.1			S4 domain-containing protein YaaA			SAMEA4412661_00004	222	73	
gene	protein_coding	GCA_900187005.1	Primary Assembly	chromosome	1	LT906464.1	3873	4988	+					recF		SAMEA4412661_00005	1116		
CDS	with_protein	GCA_900187005.1	Primary Assembly	chromosome	1	LT906464.1	3873	4988	+	SNV98057.1			DNA replication and repair protein RecF	recF		SAMEA4412661_00005	1116	371	
gene	protein_coding	GCA_900187005.1	Primary Assembly	chromosome	1	LT906464.1	5010	6932	+					gyrB		SAMEA4412661_00006	1923		
